reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
xiaomi-redmi102022,xiaomi-redmi102022,Redmi 10 (2022),https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 10 2022,,,,,mistoretn,INSTOCK,509.000,2024-06-18
xiaomi-redmi10a,xiaomi-redmi10a,Redmi 10A,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 10a,,,,,mistoretn,INSTOCK,609.000,2024-06-18
xiaomi-redmi124128g8128g8256g,xiaomi-redmi124128g8128g8256g,Redmi 12 (4+128G) (8+128G) (8+256G),https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 12 4 128g 8 128g 8 256g,,,,,mistoretn,INSTOCK,409.000,2024-06-18
xiaomi-redmi12c,xiaomi-redmi12c,Redmi 12C,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 12c,,,,,mistoretn,INSTOCK,509.000,2024-06-18
xiaomi-redmi13c4128g6128g8256g,xiaomi-redmi13c4128g6128g8256g,Redmi 13C (4+128G) (6+128G) (8+256G),https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 13c 4 128g 6 128g 8 256g,,,,,mistoretn,INSTOCK,569.000,2024-06-18
xiaomi-redmia1,xiaomi-redmia1,Redmi A1+,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi a1,,,,,mistoretn,INSTOCK,649.000,2024-06-18
xiaomi-redmia2232g364g,xiaomi-redmia2232g364g,Redmi A2+ (2+32G) (3+64G),https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi a2 2 32g 3 64g,,,,,mistoretn,INSTOCK,389.000,2024-06-18
xiaomi-redmia3364gb4128gb,xiaomi-redmia3364gb4128gb,Redmi A3 (3+64GB) (4+128GB),https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi a3 3 64gb 4 128gb,,,,,mistoretn,INSTOCK,559.000,2024-06-18
xiaomi-redmi10,xiaomi-redmi10,Redmi 10,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 10,,,,,mistoretn,INSTOCK,479.000,2024-06-18
xiaomi-redmi9a,xiaomi-redmi9a,Redmi 9A,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 9a,,,,,mistoretn,INSTOCK,599.000,2024-06-18
xiaomi-redmi9c,xiaomi-redmi9c,REDMI 9C,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 9c,,,,,mistoretn,INSTOCK,279.000,2024-06-18
xiaomi-redmi10c,xiaomi-redmi10c,Redmi 10C,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 10c,,,,,mistoretn,INSTOCK,399.000,2024-06-18
xiaomi-redmi9t,xiaomi-redmi9t,REDMI 9T,https://mistore.com.tn/product-category/smartphone-redmi/,xiaomi,redmi 9t,,,,,mistoretn,INSTOCK,269.000,2024-06-18
xiaomi-pocom4pro,xiaomi-pocom4pro,Poco M4 Pro,https://mistore.com.tn/product-category/smartphone-poco/,xiaomi,poco m4 pro,,,,,mistoretn,INSTOCK,1099.000,2024-06-18
xiaomi-pocof3,xiaomi-pocof3,POCO F3,https://mistore.com.tn/product-category/smartphone-poco/,xiaomi,poco f3,,,,,mistoretn,INSTOCK,1229.000,2024-06-18
xiaomi-pocox3pro,xiaomi-pocox3pro,POCO X3 Pro,https://mistore.com.tn/product-category/smartphone-poco/,xiaomi,poco x3 pro,,,,,mistoretn,INSTOCK,1329.000,2024-06-18
xiaomi-12,xiaomi-12,Xiaomi 12,https://mistore.com.tn/product-category/xiaomi/,xiaomi,12,,,,,mistoretn,INSTOCK,5298.000,2024-06-18
xiaomi-12pro,xiaomi-12pro,Xiaomi 12 Pro,https://mistore.com.tn/product-category/xiaomi/,xiaomi,12 pro,,,,,mistoretn,INSTOCK,5557.000,2024-06-18
xiaomi-11lite5gne,xiaomi-11lite5gne,Xiaomi 11 Lite 5G NE,https://mistore.com.tn/product-category/xiaomi/,xiaomi,11 lite 5g ne,,,,,mistoretn,INSTOCK,2899.000,2024-06-18
xiaomi-11t,xiaomi-11t,XIAOMI 11 T,https://mistore.com.tn/product-category/xiaomi/,xiaomi,11 t,,,,,mistoretn,INSTOCK,3199.000,2024-06-18
xiaomi-11tpro,xiaomi-11tpro,XIAOMI 11 T Pro,https://mistore.com.tn/product-category/xiaomi/,xiaomi,11 t pro,,,,,mistoretn,INSTOCK,3749.000,2024-06-18
xiaomi-redmi13,xiaomi-redmi13,REDMI 13,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi 13,,,,,mistoretn,INSTOCK,679.000,2024-06-18
xiaomi-redmia3x,xiaomi-redmia3x,REDMI A3X,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi a3x,,,,,mistoretn,INSTOCK,929.000,2024-06-18
xiaomi-redminote12,xiaomi-redminote12,Redmi Note 12,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 12,,,,,mistoretn,INSTOCK,1199.000,2024-06-18
xiaomi-redminote12pro,xiaomi-redminote12pro,Redmi Note 12 Pro,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 12 pro,,,,,mistoretn,INSTOCK,1399.000,2024-06-18
xiaomi-redminote12pro5g8256g,xiaomi-redminote12pro5g8256g,Redmi Note 12 Pro+ (5G) (8+256G),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 12 pro 5g 8 256g,,,,,mistoretn,INSTOCK,1799.000,2024-06-18
xiaomi-redminote12s8256g,xiaomi-redminote12s8256g,Redmi Note 12S (8+256G),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 12s 8 256g,,,,,mistoretn,INSTOCK,1079.000,2024-06-18
xiaomi-redminote136128gb8128gb8256gb,xiaomi-redminote136128gb8128gb8256gb,Redmi Note 13 (6+128GB)(8+128GB)(8+256GB),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 13 6 128gb 8 128gb 8 256gb,,,,,mistoretn,INSTOCK,749.000,2024-06-18
xiaomi-redminote13pro8256gb12512gb,xiaomi-redminote13pro8256gb12512gb,Redmi Note 13 Pro (8+256GB)(12+512GB),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 13 pro 8 256gb 12 512gb,,,,,mistoretn,INSTOCK,869.000,2024-06-18
xiaomi-redminote13pro5g8256gb12512gb,xiaomi-redminote13pro5g8256gb12512gb,Redmi Note 13 Pro+ 5G (8+256GB)(12+512GB),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 13 pro 5g 8 256gb 12 512gb,,,,,mistoretn,INSTOCK,1149.000,2024-06-18
xiaomi-redminote10pro,xiaomi-redminote10pro,Redmi Note 10 Pro,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 10 pro,,,,,mistoretn,INSTOCK,1399.000,2024-06-18
xiaomi-redminote10s,xiaomi-redminote10s,Redmi Note 10S,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 10s,,,,,mistoretn,INSTOCK,1699.000,2024-06-18
xiaomi-redminote11,xiaomi-redminote11,Redmi Note 11,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 11,,,,,mistoretn,INSTOCK,1949.000,2024-06-18
xiaomi-redminote11pro6128g8128g,xiaomi-redminote11pro6128g8128g,Redmi Note 11 Pro (6+128G) (8+128G),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 11 pro 6 128g 8 128g,,,,,mistoretn,INSTOCK,1159.000,2024-06-18
xiaomi-redminote11pro5g,xiaomi-redminote11pro5g,Redmi Note 11 Pro 5G,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 11 pro 5g,,,,,mistoretn,INSTOCK,1219.000,2024-06-18
xiaomi-redminote11s,xiaomi-redminote11s,Redmi Note 11S,https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 11s,,,,,mistoretn,INSTOCK,929.000,2024-06-18
xiaomi-redminote82021,xiaomi-redminote82021,REDMI NOTE 8 (2021),https://mistore.com.tn/product-category/redmi-note/,xiaomi,redmi note 8 2021,,,,,mistoretn,INSTOCK,999.000,2024-06-18
