mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
benco-v80,benco-v80-4go-64gb-cyanblue,Smartphone BENCO V80 4Go 64Go - Bleu Cyan ,https://www.mytek.tn/smartphone-benco-v80-4go-64go-bleu-cyan.html,benco,v80,4go,64gb,cyan blue,,mytek,retired,349.0,2023-11-05
benco-y113g,benco-y113g-1go-32gb-darkblue,Smartphone BENCO Y11 3G 1Go 32Go - Bleu Foncé,https://www.mytek.tn/smartphone-benco-y11-3g-1go-32go-bleu-fonce.html,benco,y11 3g,1go,32gb,dark blue,,mytek,retired,159.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-black,Smartphone HUAWEI Nova 11i 8Go 128Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-noir-band-8.html,huawei,nova 11i,8go,128gb,black,band 8,mytek,retired,1039.0,2023-11-05
huawei-nova11i,huawei-nova11i-8go-128gb-green,Smartphone HUAWEI Nova 11i 8Go 128Go Vert + Band 8,https://www.mytek.tn/smartphone-huawei-nova-11i-8go-128go-vert-band-8.html,huawei,nova 11i,8go,128gb,green,band 8,mytek,retired,1039.0,2023-11-05
huawei-nova9se,huawei-nova9se-8go-128gb-black,Smartphone HUAWEI Nova 9 SE 8Go 128Go Noir + SmartWatch Gratuite + Abonnement 12Mois,https://www.mytek.tn/smartphone-huawei-nova-9-se-8g-128g-noir.html,huawei,nova 9 se,8go,128gb,black,smartwatch gratuite abonnement 12mois,mytek,retired,899.0,2023-11-05
huawei-nova9se,huawei-nova9se-8go-128gb-blue,Smartphone HUAWEI Nova 9 SE 8Go 128Go Bleu + SmartWatch Gratuite + Abonnement 12Mois,https://www.mytek.tn/smartphone-huawei-nova-9-se-8go-128g-bleu.html,huawei,nova 9 se,8go,128gb,blue,smartwatch gratuite abonnement 12mois,mytek,retired,899.0,2023-11-05
huawei-novay90,huawei-novay90-6go-128gb-green,Smartphone HUAWEI Nova Y90 6Go 128Go - Vert,https://www.mytek.tn/smartphone-huawei-nova-y90-6go-128go-vert.html,huawei,nova y90,6go,128gb,green,,mytek,retired,849.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-black,Smartphone HUAWEI Nova Y91 8Go 256Go Noir + Band 8,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-noir-band-8.html,huawei,nova y91,8go,256gb,black,band 8,mytek,retired,1239.0,2023-11-05
huawei-novay91,huawei-novay91-8go-256gb-silver,Smartphone HUAWEI Nova Y91 8Go 256Go Silver + SmartWatch Gratuite,https://www.mytek.tn/smartphone-huawei-nova-y91-8go-256go-silver.html,huawei,nova y91,8go,256gb,silver,smartwatch gratuite,mytek,retired,1149.0,2023-11-05
iku-a10s,iku-a10s-4go-32gb-blue,Smartphone IKU A10s 4Go 32Go - Bleu,https://www.mytek.tn/smartphone-iku-a10s-4go-32go-bleu.html,iku,a10s,4go,32gb,blue,,mytek,retired,329.0,2023-11-05
