reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
nokia-c01plus4g,nokia-c01plus4g-1go-16gb-blue,Smartphone NOKIA C01 Plus 4G 1Go 16Go - Bleu,https://www.mytek.tn/smartphone-nokia-c01-plus-4g-1go-16go-bleu.html,nokia,c01 plus 4g,1go,16gb,blue,,mytek,INSTOCK,149.000,2024-06-13
nokia-c22emeedition,nokia-c22emeedition-2go-32gb-blue,Smartphone NOKIA C2 2ème Édition 2Go 32Go - Bleu,https://www.mytek.tn/smartphone-nokia-c2-2eme-edition-2go-32go-bleu.html,nokia,c2 2eme edition,2go,32gb,blue,,mytek,INSTOCK,179.000,2024-06-13
nokia-c22emeedition,nokia-c22emeedition-2go-32gb-grey,Smartphone NOKIA C2 2ème Édition 2Go 32Go - Gris,https://www.mytek.tn/smartphone-nokia-c2-2eme-edition-2go-32go-gris.html,nokia,c2 2eme edition,2go,32gb,grey,,mytek,INSTOCK,179.000,2024-06-13
itel-a18,itel-a18-1go-32gb-blue,Smartphone ITEL A18 1Go 32Go - Bleu,https://www.mytek.tn/smartphone-itel-a18-1go-32go-bleu.html,itel,a18,1go,32gb,blue,,mytek,INSTOCK,189.000,2024-06-13
kxd-a1,kxd-a1-1go-16gb-blue,Smartphone KXD A1 1Go 16Go - Bleu,https://www.mytek.tn/smartphone-kxd-a1-1go-16go-bleu.html,kxd,a1,1go,16gb,blue,,mytek,INSTOCK,189.000,2024-06-13
itel-a18,itel-a18-1go-32gb-green,Smartphone ITEL A18 1Go 32Go - Vert,https://www.mytek.tn/smartphone-itel-a18-1go-32go-vert.html,itel,a18,1go,32gb,green,,mytek,INSTOCK,189.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-green,Smartphone IKU A7 Plus 2Go 16Go - Vert,https://www.mytek.tn/smartphone-iku-a7-plus-2go-16go-vert.html,iku,a7 plus,2go,16gb,green,,mytek,INSTOCK,199.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-grey,Smartphone IKU A7 Plus 2Go 16Go - Gris,https://www.mytek.tn/smartphone-iku-a7-plus-2go-16go-gris.html,iku,a7 plus,2go,16gb,grey,,mytek,INSTOCK,199.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-blue,Smartphone IKU A7 Plus 2Go 16Go - Bleu,https://www.mytek.tn/smartphone-iku-a7-plus-2go-16go-bleu.html,iku,a7 plus,2go,16gb,blue,,mytek,INSTOCK,199.000,2024-06-13
evertek-m20smini,evertek-m20smini-1go-16gb-red,Smartphone EVERTEK M20S Mini 1Go 16Go - Rouge,https://www.mytek.tn/smartphone-evertek-m20s-mini-1go-16go-rouge.html,evertek,m20s mini,1go,16gb,red,,mytek,INSTOCK,209.000,2024-06-13
