reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
realme-c67,realme-c67-8go-256gb,REALME C67 (8+256 GO),https://www.ooredoo.tn/Personal/fr/accueil/1863-2665-portable-realme-c67-8256-go.html#/73-couleur-noir,realme,c67,8go,256gb,,,ooredooshop,INSTOCK,799.000,2024-06-13
realme-11,realme-11-8go-256gb,REALME 11 (8+256 GO),https://www.ooredoo.tn/Personal/fr/accueil/1827-2557-portable-realme-11-8256-go.html#/73-couleur-noir,realme,11,8go,256gb,,,ooredooshop,INSTOCK,899.000,2024-06-13
infinix-hot40pro12,infinix-hot40pro12-256gb,INFINIX HOT40 PRO (12+256GO),https://www.ooredoo.tn/Personal/fr/accueil/1903-2660-portable-infinix-hot40-pro-12256go.html#/14-couleur-bleu,infinix,hot40 pro 12,,256gb,,,ooredooshop,INSTOCK,819.000,2024-06-13
oppo-reno11f5g,oppo-reno11f5g,OPPO RENO 11F 5G,https://www.ooredoo.tn/Personal/fr/accueil/1900-2657-portable-oppo-reno-11f-5g.html#/56-couleur-vert,oppo,reno 11f 5g,,,,,ooredooshop,INSTOCK,1399.000,2024-06-13
oppo-a18,oppo-a18-4go-64gb,OPPO A18 (4-64G),https://www.ooredoo.tn/Personal/fr/accueil/1893-2656-portable-oppo-a-18-4-64g.html#/73-couleur-noir,oppo,a18,4go,64gb,,,ooredooshop,INSTOCK,429.000,2024-06-13
oppo-a18,oppo-a18-4go-128gb,OPPO A18 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1821-2554-portable-oppo-a18-4128g.html#/73-couleur-noir,oppo,a18,4go,128gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
samsung-galaxys24,samsung-galaxys24,SAMSUNG GALAXY S24,https://www.ooredoo.tn/Personal/fr/accueil/1784-2653-portable-samsung-galaxy-s24.html#/73-couleur-noir,samsung,galaxy s24,,,,,ooredooshop,INSTOCK,3999.000,2024-06-13
samsung-galaxys24plus,samsung-galaxys24plus,SAMSUNG GALAXY S24 PLUS,https://www.ooredoo.tn/Personal/fr/accueil/1787-2650-portable-samsung-galaxy-s24-plus.html#/73-couleur-noir,samsung,galaxy s24 plus,,,,,ooredooshop,INSTOCK,4599.000,2024-06-13
samsung-galaxys24ultra,samsung-galaxys24ultra,SAMSUNG GALAXY S24 ULTRA,https://www.ooredoo.tn/Personal/fr/accueil/1790-2647-portable-samsung-galaxy-s24-ultra.html#/57-couleur-gris,samsung,galaxy s24 ultra,,,,,ooredooshop,INSTOCK,5999.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-6go-128gb,SAMSUNG GALAXY  A05S (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1890-2645-portable-samsung-galaxy-a05s-6128go.html#/54-couleur-purple,samsung,galaxy a05s,6go,128gb,,,ooredooshop,INSTOCK,649.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-4go-128gb,SAMSUNG GALAXY  A05S (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1887-2642-portable-samsung-galaxy-a05s-4128go.html#/73-couleur-noir,samsung,galaxy a05s,4go,128gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-6go-128gb,SAMSUNG GALAXY  A05 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1884-2639-portable-samsung-galaxy-a05-6128go.html#/56-couleur-vert,samsung,galaxy a05,6go,128gb,,,ooredooshop,INSTOCK,549.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-4go-128gb,SAMSUNG GALAXY  A05 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1881-2636-portable-samsung-galaxy-a05-4128go.html#/51-couleur-argent,samsung,galaxy a05,4go,128gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-4go-64gb,SAMSUNG GALAXY A05 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1878-2633-portable-samsung-galaxy-a05-464go.html#/73-couleur-noir,samsung,galaxy a05,4go,64gb,,,ooredooshop,INSTOCK,439.000,2024-06-13
xiaomi-redminote13pro,xiaomi-redminote13pro,REDMI NOTE 13 PRO+...,https://www.ooredoo.tn/Personal/fr/accueil/1875-2632-portable-redmi-note-13-pro-12512go-5g.html#/52-couleur-blanc,xiaomi,redmi note 13 pro,,,,,ooredooshop,INSTOCK,1949.000,2024-06-13
xiaomi-redminote13pro12,xiaomi-redminote13pro12-512gb,REDMI NOTE 13 PRO (12+512GO),https://www.ooredoo.tn/Personal/fr/accueil/1872-2629-portable-redmi-note-13-pro-12512go.html#/73-couleur-noir,xiaomi,redmi note 13 pro 12,,512gb,,,ooredooshop,INSTOCK,1399.000,2024-06-13
xiaomi-redminote13,xiaomi-redminote13-8go-256gb,REDMI NOTE 13 (8+256GO),https://www.ooredoo.tn/Personal/fr/accueil/1869-2626-portable-redmi-note-13-8256go.html#/73-couleur-noir,xiaomi,redmi note 13,8go,256gb,,,ooredooshop,INSTOCK,869.000,2024-06-13
xiaomi-redminote13,xiaomi-redminote13-6go-128gb,REDMI NOTE 13 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1866-2623-portable-redmi-note-13-6128go.html#/73-couleur-noir,xiaomi,redmi note 13,6go,128gb,,,ooredooshop,INSTOCK,749.000,2024-06-13
