ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
apple-iphone13pro,apple-iphone13pro,iPhone 13 Pro,https://www.ooredoo.tn/Personal/fr/smartphones/546-886-portable-iphone-13-pro-128-go.html#/57-couleur-gris,apple,iphone 13 pro,,,,,ooredooshop,retired,5969.0,05/11/2023
infinix-hot11,infinix-hot11-4go-64gb,Infinix Hot 11 (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/594-1002-portable-infinix-hot-11-464go.html#/56-couleur-vert,infinix,hot 11,4go,64gb,,,ooredooshop,retired,399.0,05/11/2023
infinix-hot12,infinix-hot12,Infinix Hot 12,https://www.ooredoo.tn/Personal/fr/accueil/810-1176-portable-infinix-hot-12-4-64go.html#/73-couleur-noir,infinix,hot 12,,,,,ooredooshop,retired,499.0,05/11/2023
nokia-c12,nokia-c12,NOKIA C12,https://www.ooredoo.tn/Personal/fr/accueil/1255-1924-portable-nokia-c12.html#/56-couleur-vert,nokia,c12,,,,,ooredooshop,retired,360.0,05/11/2023
nokia-ds,nokia-ds-2go,Nokia 2.3 DS,https://www.ooredoo.tn/Personal/fr/accueil/606-1088-portable-nokia-23-ds.html#/57-couleur-gris,nokia,ds,2go,,,,ooredooshop,retired,369.9,05/11/2023
nokia-xr20,nokia-xr20,Nokia XR20,https://www.ooredoo.tn/Personal/fr/smartphones/447-876-portable-nokia-xr20.html#/50-couleur-bleu,nokia,xr20,,,,,ooredooshop,retired,1799.0,05/11/2023
oppo-a17,oppo-a17-4go-64gb,OPPO A17 (4-64),https://www.ooredoo.tn/Personal/fr/accueil/1067-1649-portable-oppo-a17-4-64.html#/50-couleur-bleu,oppo,a17,4go,64gb,,,ooredooshop,retired,599.0,05/11/2023
oppo-reno8t4g,oppo-reno8t4g-8go-256gb,OPPO RENO 8T 4G (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1163-1865-portable-oppo-reno-8t-4g-8256g-tunisie.html#/73-couleur-noir,oppo,reno 8t 4g,8go,256gb,,,ooredooshop,retired,1249.0,05/11/2023
samsung-a13,samsung-a13,SAMSUNG A13,https://www.ooredoo.tn/Personal/fr/accueil/743-1145-portable-samsung-galaxy-a13-4128-tunisie.html#/73-couleur-noir,samsung,a13,,,,,ooredooshop,retired,849.0,05/11/2023
samsung-a14,samsung-a14-4go-128gb,SAMSUNG A14 (4 + 128GO),https://www.ooredoo.tn/Personal/fr/accueil/1252-1921-portable-samsung-galaxy-a14-4-128go-ooredoo-tun.html#/56-couleur-vert,samsung,a14,4go,128gb,,,ooredooshop,retired,749.0,05/11/2023
