tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
tecno-sparkgo2024,tecno-sparkgo2024-4go-128gb-black,Smartphone TECNO Spark GO 2024 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/70506-smartphone-tecno-spark-go-2024-4-go-128-go-noir.html,tecno,spark go 2024,4go,128gb,black,,tunisianet,INSTOCK,348.0,28/01/2024
apple-iphone14pro5g,apple-iphone14pro5g-128gb-black,Smartphone Apple iPhone 14 Pro / 5G / 128 Go / Noir + Apple EarPods avec connecteur Lightning Offerts,https://www.tunisianet.com.tn/smartphone-tunisie/63553-smartphone-apple-iphone-14-pro-5g-128-go-purple.html,apple,iphone 14 pro 5g,,128gb,black,apple earpods avec connecteur lightning offerts,tunisianet,ONDEMAND,4499.0,28/01/2024
samsung-galaxya54,samsung-galaxya54-8go-128gb-black,Smartphone Samsung Galaxy A54 / 8 Go / 128 Go / Noir + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/63953-smartphone-samsung-galaxy-a54-8-go-128-go-noir.html,samsung,galaxy a54,8go,128gb,black,adaptateur samsung 25w offert,tunisianet,INSTOCK,1799.0,28/01/2024
vivo-y02,vivo-y02-3go-32gb-grey,Smartphone Vivo Y02 / 3 Go / 32 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/67227-smartphone-vivo-y02-2-go-32-go-gris.html,vivo,y02,3go,32gb,grey,,tunisianet,INSTOCK,379.0,28/01/2024
xiaomi-redminote13pro5g,xiaomi-redminote13pro5g-12go-512gb-black,Smartphone XIAOMI Redmi Note 13 PRO+ 5G/ 12GO /512GO / NOIR,https://www.tunisianet.com.tn/telephonie-tablette/72520-smartphone-xiaomi-redmi-note-13-pro-8go-256go-purple.html,xiaomi,redmi note 13 pro 5g,12go,512gb,black,,tunisianet,ONDEMAND,1799.0,28/01/2024
tecno-spark20,tecno-spark20-8go-256gb-white,Smartphone Tecno Spark 20 / 8 Go / 256 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/71759-smartphone-tecno-spark-20-8-go-256-go-blanc.html,tecno,spark 20,8go,256gb,white,,tunisianet,INSTOCK,525.0,28/01/2024
realme-104g,realme-104g-8go-128gb-black,Smartphone Realme 10 4G / 8 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65800-smartphone-realme-10-4g-8-go-128-go-noir.html,realme,10 4g,8go,128gb,black,,tunisianet,INSTOCK,729.0,28/01/2024
samsung-galaxya24,samsung-galaxya24-6go-128gb-green,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Vert + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64507-smartphone-samsung-galaxy-a24-6-go-128-go-vert-.html,samsung,galaxy a24,6go,128gb,green,adaptateur samsung 25w offert,tunisianet,INSTOCK,899.0,28/01/2024
xiaomi-redmi124g,xiaomi-redmi124g-8go-128gb-black,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 128 Go / Noir + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66388-smartphone-xiaomi-redmi-12-4g-8-go-128-go-noir.html,xiaomi,redmi 12 4g,8go,128gb,black,abonnement ott pro 12 mois offert,tunisianet,INSTOCK,599.0,28/01/2024
vivo-y02t,vivo-y02t-4go-64gb-blue,Smartphone Vivo Y02T / 4 Go / 64 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/66480-smartphone-vivo-y02t-4-go-64-go-bleu.html,vivo,y02t,4go,64gb,blue,,tunisianet,INSTOCK,389.0,28/01/2024
tecno-spark20,tecno-spark20-8go-256gb-black,Smartphone Tecno Spark 20 / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/71760-tecno-spark-20-prix-tunisie.html,tecno,spark 20,8go,256gb,black,,tunisianet,INSTOCK,525.0,28/01/2024
vivo-v295g,vivo-v295g-12go-256gb-blue,SMARTPHONE VIVO V29 5G / 12 Go / 256 Go / Bleu avec Abonnement ott IPTV 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70183-smartphone-vivo-v29-5g-12-go-256-go-bleu.html,vivo,v29 5g,12go,256gb,blue,avec abonnement ott iptv 12 mois offert,tunisianet,ONDEMAND,1299.0,28/01/2024
evertek-m20,evertek-m20-1go-16gb-blue,SMARTPHONE EVERTEK M20 / 1Go /16Go / BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/60770-smartphone-evertek-m20-1go-16go-bleu.html,evertek,m20,1go,16gb,blue,,tunisianet,INSTOCK,269.0,28/01/2024
tecno-sparkgo2024,tecno-sparkgo2024-4go-128gb-green,Smartphone TECNO Spark GO 2024 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/71881-smartphone-tecno-spark-go-2024-4-go-128-go-vert.html,tecno,spark go 2024,4go,128gb,green,,tunisianet,INSTOCK,344.0,28/01/2024
oppo-a17,oppo-a17-4go-64gb-black,SMARTPHONE OPPO A17 / 4 GO / 64 GO / Noir + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60504-smartphone-oppo-a17-4-go-64-go-noir-abonnement-ott-pro-12-mois-offert.html,oppo,a17,4go,64gb,black,abonnement ott pro 12 mois offert,tunisianet,INSTOCK,410.0,28/01/2024
