reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
itel-2163,itel-2163-black,Téléphone Portable Itel 2163 Noir,https://spacenet.tn/telephone-portable-tunisie/72347-telephone-portable-itel-2163-noir.html,itel,2163,,,black,,spacenet,INSTOCK,39.000,2024-06-18
itel-2163,itel-2163-blue,Téléphone Portable Itel 2163 Bleu,https://spacenet.tn/telephone-portable-tunisie/72348-telephone-portable-itel-2163-bleu.html,itel,2163,,,blue,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-black,Téléphone Portable IPRO A1 Mini - Noir,https://spacenet.tn/telephone-portable-tunisie/60397-telephone-portable-ipro-a1-mini-noir.html,ipro,a1 mini,,,black,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-blue,Téléphone Portable IPRO A1 Mini - Bleu,https://spacenet.tn/telephone-portable-tunisie/60398-telephone-portable-ipro-a1-mini-bleu.html,ipro,a1 mini,,,blue,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-red,Téléphone Portable IPRO A1 Mini - Rouge,https://spacenet.tn/telephone-portable-tunisie/60399-telephone-portable-ipro-a1-mini-rouge.html,ipro,a1 mini,,,red,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-rose,Téléphone Portable IPRO A1 Mini Rose,https://spacenet.tn/telephone-portable-tunisie/74859-telephone-portable-ipro-a1-mini-rose.html,ipro,a1 mini,,,rose,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-green,Téléphone Portable IPRO A1 Mini Vert,https://spacenet.tn/telephone-portable-tunisie/74861-telephone-portable-ipro-a1-mini-vert.html,ipro,a1 mini,,,green,,spacenet,INSTOCK,39.000,2024-06-18
ipro-a1mini,ipro-a1mini-orange,Téléphone Portable IPRO A1 Mini Orange,https://spacenet.tn/telephone-portable-tunisie/74858-telephone-portable-ipro-a1-mini-orange.html,ipro,a1 mini,,,orange,,spacenet,INSTOCK,39.000,2024-06-18
energizer-e2,energizer-e2-black,Téléphone Portable Energizer E2 Noir,https://spacenet.tn/telephone-portable-tunisie/60259-telephone-portable-energizer-e2-noir.html,energizer,e2,,,black,,spacenet,INSTOCK,41.900,2024-06-18
apple-geniphonea2mini,apple-geniphonea2mini-black,Téléphone Portable Geniphone A2 Mini Noir,https://spacenet.tn/telephone-portable-tunisie/74908-telephone-portable-geniphone-a2-mini-noir.html,apple,geniphone a2 mini,,,black,,spacenet,ONDEMAND,42.900,2024-06-18
apple-geniphonea2mini,apple-geniphonea2mini-blue,Téléphone Portable Geniphone A2 Mini Bleu,https://spacenet.tn/telephone-portable-tunisie/74909-telephone-portable-geniphone-a2-mini-bleu.html,apple,geniphone a2 mini,,,blue,,spacenet,ONDEMAND,42.900,2024-06-18
apple-geniphonea2mini,apple-geniphonea2mini-grey,Téléphone Portable Geniphone A2 Mini Gris,https://spacenet.tn/telephone-portable-tunisie/75070-telephone-portable-geniphone-a2-mini-gris.html,apple,geniphone a2 mini,,,grey,,spacenet,ONDEMAND,42.900,2024-06-18
apple-geniphonea2mini,apple-geniphonea2mini-red,Téléphone Portable Geniphone A2 Mini Rouge,https://spacenet.tn/telephone-portable-tunisie/74913-telephone-portable-geniphone-a2-mini-rouge.html,apple,geniphone a2 mini,,,red,,spacenet,ONDEMAND,42.900,2024-06-18
apple-geniphonea2mini,apple-geniphonea2mini-rose,Téléphone Portable Geniphone A2 Mini Rose,https://spacenet.tn/telephone-portable-tunisie/74912-telephone-portable-geniphone-a2-mini-rose.html,apple,geniphone a2 mini,,,rose,,spacenet,ONDEMAND,42.900,2024-06-18
energizer-e3,energizer-e3-black,Téléphone Portable Energizer E3 Noir,https://spacenet.tn/telephone-portable-tunisie/60260-telephone-portable-energizer-e3-noir.html,energizer,e3,,,black,,spacenet,INSTOCK,44.900,2024-06-18
logicom-p197e,logicom-p197e-red,Téléphone Portable Logicom P197E Rouge,https://spacenet.tn/telephone-portable-tunisie/68621-telephone-portable-logicom-p197e-rouge.html,logicom,p197e,,,red,,spacenet,INSTOCK,45.000,2024-06-18
logicom-p197e,logicom-p197e-blue,Téléphone Portable Logicom P197E Bleu,https://spacenet.tn/telephone-portable-tunisie/68618-telephone-portable-logicom-p197e-bleu.html,logicom,p197e,,,blue,,spacenet,INSTOCK,45.000,2024-06-18
logicom-p197e,logicom-p197e-black,Téléphone Portable Logicom P197E Noir,https://spacenet.tn/telephone-portable-tunisie/68598-telephone-portable-logicom-p197e-noir.html,logicom,p197e,,,black,,spacenet,INSTOCK,45.000,2024-06-18
logicom-p197e,logicom-p197e-grey,Téléphone Portable Logicom P197E Gris,https://spacenet.tn/telephone-portable-tunisie/68617-telephone-portable-logicom-p197e-gris.html,logicom,p197e,,,grey,,spacenet,INSTOCK,45.000,2024-06-18
ipro-a3mini,ipro-a3mini-black&red,Téléphone Portable Ipro A3 Mini Rouge & Noir,https://spacenet.tn/telephone-portable-tunisie/71480-telephone-portable-ipro-a3-mini-rouge-noir.html,ipro,a3 mini,,,black&red,&,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-black,Téléphone Portable Ipro A3 Mini Noir,https://spacenet.tn/telephone-portable-tunisie/71481-telephone-portable-ipro-a3-mini-noir.html,ipro,a3 mini,,,black,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-blue,Téléphone Portable Ipro A3 Mini Bleu,https://spacenet.tn/telephone-portable-tunisie/71485-telephone-portable-ipro-a3-mini-bleu.html,ipro,a3 mini,,,blue,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-rose,Téléphone Portable IPRO A3 Mini Rose,https://spacenet.tn/telephone-portable-tunisie/74868-telephone-portable-ipro-a3-mini-rose.html,ipro,a3 mini,,,rose,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-red,Téléphone Portable IPRO A3 Mini Rouge,https://spacenet.tn/telephone-portable-tunisie/74867-telephone-portable-ipro-a3-mini-rouge.html,ipro,a3 mini,,,red,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-violet,Téléphone Portable Ipro A3 Mini Violet,https://spacenet.tn/telephone-portable-tunisie/71484-telephone-portable-ipro-a3-mini-violet.html,ipro,a3 mini,,,violet,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-green,Téléphone Portable IPRO A3 Mini Vert,https://spacenet.tn/telephone-portable-tunisie/74863-telephone-portable-ipro-a3-mini-vert.html,ipro,a3 mini,,,green,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-orange,Téléphone Portable IPRO A3 Mini Orange,https://spacenet.tn/telephone-portable-tunisie/74864-telephone-portable-ipro-a3-mini-orange.html,ipro,a3 mini,,,orange,,spacenet,INSTOCK,46.900,2024-06-18
ipro-a3mini,ipro-a3mini-grey,Téléphone Portable Ipro A3 Mini Gris,https://spacenet.tn/telephone-portable-tunisie/71483-telephone-portable-ipro-a3-mini-gris.html,ipro,a3 mini,,,grey,,spacenet,INSTOCK,46.900,2024-06-18
energizer-e4,energizer-e4-black,Téléphone Portable Energizer E4 Noir,https://spacenet.tn/telephone-portable-tunisie/60261-telephone-portable-energizer-e4-noir.html,energizer,e4,,,black,,spacenet,INSTOCK,47.900,2024-06-18
ipro-a7mini,ipro-a7mini-black,Téléphone Portable IPRO A7 Mini - Noir,https://spacenet.tn/telephone-portable-tunisie/60402-telephone-portable-ipro-a7-mini-noir.html,ipro,a7 mini,,,black,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a18,ipro-a18-black&green,Téléphone Portable IPRO  A18 - Noir & Vert,https://spacenet.tn/telephone-portable-tunisie/60688-telephone-portable-ipro-a18-noir-vert.html,ipro,a18,,,black & green,,spacenet,INSTOCK,49.000,2024-06-18
iku-s3,iku-s3-grey,Téléphone Portable IKU S3 Gris,https://spacenet.tn/telephone-portable-tunisie/68634-telephone-portable-iku-s3-gris.html,iku,s3,,,grey,,spacenet,INSTOCK,49.000,2024-06-18
iku-s3,iku-s3-black,Téléphone Portable IKU S3 Noir,https://spacenet.tn/telephone-portable-tunisie/68633-telephone-portable-iku-s3-noir.html,iku,s3,,,black,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a7mini,ipro-a7mini-black&green,Téléphone Portable IPRO A7 Mini - Noir & Vert,https://spacenet.tn/telephone-portable-tunisie/60405-telephone-portable-ipro-a7-mini-noir-vert.html,ipro,a7 mini,,,black & green,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a7mini,ipro-a7mini-black&blue,Téléphone Portable IPRO A7 Mini - Noir & Bleu,https://spacenet.tn/telephone-portable-tunisie/60406-telephone-portable-ipro-a7-mini-noir-bleu.html,ipro,a7 mini,,,black & blue,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a18,ipro-a18-black&red,Téléphone Portable IPRO  A18 - Noir & Rouge,https://spacenet.tn/telephone-portable-tunisie/60690-telephone-portable-ipro-a18-noir-rouge.html,ipro,a18,,,black & red,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a18,ipro-a18-blue,Téléphone Portable IPRO  A18 - Bleu,https://spacenet.tn/telephone-portable-tunisie/60689-telephone-portable-ipro-a18-bleu.html,ipro,a18,,,blue,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a7mini,ipro-a7mini-blue,Téléphone Portable IPRO A7 Mini - Bleu,https://spacenet.tn/telephone-portable-tunisie/60404-telephone-portable-ipro-a7-mini-bleu.html,ipro,a7 mini,,,blue,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a7mini,ipro-a7mini-red,Téléphone Portable IPRO A7 Mini - Rouge,https://spacenet.tn/telephone-portable-tunisie/60403-telephone-portable-ipro-a7-mini-rouge.html,ipro,a7 mini,,,red,,spacenet,INSTOCK,49.000,2024-06-18
ipro-a18,ipro-a18-black,Téléphone Portable IPRO  A18 - Noir,https://spacenet.tn/telephone-portable-tunisie/60681-telephone-portable-ipro-a18-noir.html,ipro,a18,,,black,,spacenet,INSTOCK,49.000,2024-06-18
iku-s3,iku-s3-blue,Téléphone Portable IKU S3 Bleu,https://spacenet.tn/telephone-portable-tunisie/68636-telephone-portable-iku-s3-bleu.html,iku,s3,,,blue,,spacenet,INSTOCK,49.000,2024-06-18
itel-2173,itel-2173-blue,Téléphone Portable Itel 2173 Bleu,https://spacenet.tn/telephone-portable-tunisie/72345-telephone-portable-itel-2173-bleu.html,itel,2173,,,blue,,spacenet,INSTOCK,55.000,2024-06-18
itel-2173,itel-2173-black,Téléphone Portable Itel 2173 Noir,https://spacenet.tn/telephone-portable-tunisie/72346-telephone-portable-itel-2173-noir.html,itel,2173,,,black,,spacenet,INSTOCK,55.000,2024-06-18
ipro-a20,ipro-a20-grey,Téléphone Portable IPRO A20 - Gris,https://spacenet.tn/telephone-portable-tunisie/60413-telephone-portable-ipro-a20-gris.html,ipro,a20,,,grey,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-blue,Téléphone Portable IPRO A20 - Bleu,https://spacenet.tn/telephone-portable-tunisie/60412-telephone-portable-ipro-a20-bleu.html,ipro,a20,,,blue,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-white,Téléphone Portable IPRO A20 - Blanc,https://spacenet.tn/telephone-portable-tunisie/60411-telephone-portable-ipro-a20-blanc.html,ipro,a20,,,white,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-red,Téléphone Portable IPRO A20 - Rouge,https://spacenet.tn/telephone-portable-tunisie/60410-telephone-portable-ipro-a20-rouge.html,ipro,a20,,,red,,spacenet,INSTOCK,59.000,2024-06-18
ipro-a20,ipro-a20-black,Téléphone Portable IPRO A20 - Noir,https://spacenet.tn/telephone-portable-tunisie/60409-telephone-portable-ipro-a20-noir.html,ipro,a20,,,black,,spacenet,INSTOCK,59.000,2024-06-18
ipro-iprof183avecsupport,ipro-iprof183avecsupport-black,Téléphone Portable IPRO IPRO F183 Avec Support - Noir,https://spacenet.tn/telephone-portable-tunisie/60407-telephone-portable-ipro-ipro-f183-avec-support-noir.html,ipro,ipro f183 avec support,,,black,,spacenet,INSTOCK,59.000,2024-06-18
nokia-105crazy5,nokia-105crazy5-blue,Téléphone Portable Nokia 105 Crazy 5 Bleu,https://spacenet.tn/telephone-portable-tunisie/71693-telephone-portable-nokia-105-crazy-5-bleu.html,nokia,105 crazy 5,,,blue,,spacenet,INSTOCK,59.900,2024-06-18
apple-geniphonea33,apple-geniphonea33-blue,Téléphone Portable Geniphone A33 Bleu,https://spacenet.tn/telephone-portable-tunisie/74921-telephone-portable-geniphone-a33-bleu.html,apple,geniphone a33,,,blue,,spacenet,ONDEMAND,59.900,2024-06-18
nokia-105crazy5,nokia-105crazy5-black,Téléphone Portable Nokia 105 Crazy 5 Noir,https://spacenet.tn/telephone-portable-tunisie/71691-telephone-portable-nokia-105-crazy-5-noir.html,nokia,105 crazy 5,,,black,,spacenet,INSTOCK,59.900,2024-06-18
