spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
ipro-a29,ipro-a29-black&red,Téléphone Portable IPRO A29 Rouge & Noir,https://spacenet.tn/telephone-portable-tunisie/57699-telephone-portable-ipro-a29-rouge-noir.html,ipro,a29,,,black&red,,spacenet,INSTOCK,69.0,28/01/2024
ipro-a29,ipro-a29-black&blue,Téléphone Portable IPRO A29 Bleu & Noir,https://spacenet.tn/telephone-portable-tunisie/57701-telephone-portable-ipro-a29-bleu-noir.html,ipro,a29,,,black&blue,,spacenet,ONDEMAND,69.0,28/01/2024
logicom-p197e,logicom-p197e-red,Téléphone Portable Logicom P197E Rouge,https://spacenet.tn/telephone-portable-tunisie/68621-telephone-portable-logicom-p197e-rouge.html,logicom,p197e,,,red,,spacenet,INSTOCK,45.0,28/01/2024
logicom-p197e,logicom-p197e-blue,Téléphone Portable Logicom P197E Bleu,https://spacenet.tn/telephone-portable-tunisie/68618-telephone-portable-logicom-p197e-bleu.html,logicom,p197e,,,blue,,spacenet,INSTOCK,45.0,28/01/2024
logicom-p197e,logicom-p197e-grey,Téléphone Portable Logicom P197E Gris,https://spacenet.tn/telephone-portable-tunisie/68617-telephone-portable-logicom-p197e-gris.html,logicom,p197e,,,grey,,spacenet,INSTOCK,45.0,28/01/2024
logicom-p197e,logicom-p197e-black,Téléphone Portable Logicom P197E Noir,https://spacenet.tn/telephone-portable-tunisie/68598-telephone-portable-logicom-p197e-noir.html,logicom,p197e,,,black,,spacenet,INSTOCK,45.0,28/01/2024
iku-s3,iku-s3-black,Téléphone Portable IKU S3 Noir,https://spacenet.tn/telephone-portable-tunisie/68633-telephone-portable-iku-s3-noir.html,iku,s3,,,black,,spacenet,INSTOCK,49.0,28/01/2024
iku-s3,iku-s3-grey,Téléphone Portable IKU S3 Gris,https://spacenet.tn/telephone-portable-tunisie/68634-telephone-portable-iku-s3-gris.html,iku,s3,,,grey,,spacenet,INSTOCK,49.0,28/01/2024
iku-s3,iku-s3-blue,Téléphone Portable IKU S3 Bleu,https://spacenet.tn/telephone-portable-tunisie/68636-telephone-portable-iku-s3-bleu.html,iku,s3,,,blue,,spacenet,INSTOCK,49.0,28/01/2024
iku-s5,iku-s5-black,Téléphone Portable IKU S5 Noir,https://spacenet.tn/telephone-portable-tunisie/68627-telephone-portable-iku-s5-noir.html,iku,s5,,,black,,spacenet,INSTOCK,69.0,28/01/2024
iku-s5,iku-s5-blue,Téléphone Portable IKU S5 Bleu,https://spacenet.tn/telephone-portable-tunisie/68629-telephone-portable-iku-s5-bleu.html,iku,s5,,,blue,,spacenet,INSTOCK,69.0,28/01/2024
iku-s5,iku-s5-grey,Téléphone Portable IKU S5 Gris,https://spacenet.tn/telephone-portable-tunisie/68630-telephone-portable-iku-s5-gris.html,iku,s5,,,grey,,spacenet,INSTOCK,69.0,28/01/2024
iku-s5,iku-s5-green,Téléphone Portable IKU S5 Vert,https://spacenet.tn/telephone-portable-tunisie/68632-telephone-portable-iku-s5-vert.html,iku,s5,,,green,,spacenet,INSTOCK,69.0,28/01/2024
ipro-a29,ipro-a29-black,Téléphone Portable IPRO A29 Noir,https://spacenet.tn/telephone-portable-tunisie/59687-telephone-portable-ipro-a29-rouge-noir.html,ipro,a29,,,black,,spacenet,ONDEMAND,69.0,28/01/2024
logicom-leposhxl,logicom-leposhxl-black,Téléphone Portable Logicom Le Posh XL Noir,https://spacenet.tn/telephone-portable-tunisie/68624-telephone-portable-logicom-le-posh-xl-noir.html,logicom,le posh xl,,,black,,spacenet,INSTOCK,129.0,28/01/2024
nokia-c1,nokia-c1-1go-16gb-blue,Smartphone Nokia C1 1Go 16 Go Bleu,https://spacenet.tn/smartphone-tunisie/45164--smartphone-nokia-c1-1go-16-go-bleu.html,nokia,c1,1go,16gb,blue,,spacenet,ONDEMAND,189.0,28/01/2024
kxd-a1,kxd-a1-1go-16gb-black,Smartphone KXD A1 1Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/58532-smartphone-kxd-a1-1go-16go-noir.html,kxd,a1,1go,16gb,black,,spacenet,INSTOCK,30.0,28/01/2024
nokia-6310,nokia-6310-black,Téléphone Portable Nokia 6310 - Noir,https://spacenet.tn/telephone-portable-tunisie/43997-telephone-portable-nokia-6310-noir.html,nokia,6310,,,black,,spacenet,INSTOCK,159.0,28/01/2024
nokia-6310,nokia-6310-yellow,Téléphone Portable Nokia 6310 - Jaune,https://spacenet.tn/telephone-portable-tunisie/44001-telephone-portable-nokia-6310-jaune.html,nokia,6310,,,yellow,,spacenet,INSTOCK,189.0,28/01/2024
kxd-a1,kxd-a1-1go-16gb-blue,Smartphone KXD A1 1Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/58531-smartphone-kxd-a1-1go-16go-bleu.html,kxd,a1,1go,16gb,blue,,spacenet,INSTOCK,189.0,28/01/2024
iku-a7plus,iku-a7plus-2go-16gb-blue,Smartphone IKU A7 Plus 2Go 16Go Bleu,https://spacenet.tn/smartphone-tunisie/60880-smartphone-iku-a7-plus-2go-16go-bleu.html,iku,a7 plus,2go,16gb,blue,,spacenet,INSTOCK,339.0,28/01/2024
iku-a7plus,iku-a7plus-2go-16gb-green,Smartphone IKU A7 Plus 2Go 16Go Vert,https://spacenet.tn/smartphone-tunisie/60878-smartphone-iku-a7-plus-2go-16go-vert.html,iku,a7 plus,2go,16gb,green,,spacenet,ONDEMAND,141.0,28/01/2024
iku-a7plus,iku-a7plus-2go-16gb-grey,Smartphone IKU A7 Plus 2Go 16Go Gris,https://spacenet.tn/smartphone-tunisie/60882-smartphone-iku-a7-plus-2go-16go-gris.html,iku,a7 plus,2go,16gb,grey,,spacenet,ARRIVING,198.0,28/01/2024
smart-e1,smart-e1-2go-16gb-black,Smartphone Smart E1 2Go 16Go Noir,https://spacenet.tn/smartphone-tunisie/51714-smartphone-smart-e1-2go-16go-noir.html,smart,e1,2go,16gb,black,,spacenet,INSTOCK,141.0,28/01/2024
iku-a22,iku-a22-2go-32gb-blue,Smartphone IKU A22 2Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/45616-smartphone-iku-a22-2go-32go-bleu-iku-a22-bl.html,iku,a22,2go,32gb,blue,,spacenet,ONDEMAND,198.0,28/01/2024
smart-e1,smart-e1-2go-16gb-green,Smartphone Smart E1 2Go 16Go Vert,https://spacenet.tn/smartphone-tunisie/51715-smartphone-smart-e1-2go-16go-vert.html,smart,e1,2go,16gb,green,,spacenet,INSTOCK,199.0,28/01/2024
iku-a22,iku-a22-2go-32gb-red,Smartphone IKU A22 2Go 32Go Rouge,https://spacenet.tn/smartphone-tunisie/68614-smartphone-iku-a22-2go-32go-rouge.html,iku,a22,2go,32gb,red,,spacenet,ONDEMAND,199.0,28/01/2024
iku-a22,iku-a22-2go-32gb-green,Smartphone IKU A22 2Go 32Go Vert,https://spacenet.tn/smartphone-tunisie/45613-smartphone-iku-a22-2go-32go-vert-iku-a22-gr.html,iku,a22,2go,32gb,green,,spacenet,ONDEMAND,199.0,28/01/2024
