reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
benco-y113g,benco-y113g-1go-32gb-blue,Smartphone BENCO Y11 / 3G / 1 Go / 32 Go / Double SIM / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/66222-smartphone-benco-y11-3g-1-go-32-go-double-sim-blue.html,benco,y11 3g,1go,32gb,blue,double sim,tunisianet,INSTOCK,149.000,2024-06-13
benco-y113g,benco-y113g-1go-32gb-silver,Smartphone BENCO Y11 / 3G / 1 Go / 32 Go / Double SIM / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/66223-smartphone-benco-y11-3g-1-go-32-go-double-sim-silver.html,benco,y11 3g,1go,32gb,silver,double sim,tunisianet,INSTOCK,149.000,2024-06-13
nokia-c12emeedition3g,nokia-c12emeedition3g-1go-16gb-blue,Smartphone Nokia C1 2ème Edition / 3G / 1 Go / 16 Go / Double SIM / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/53222-smartphone-nokia-c1-2eme-edition-3g-1-go-16-go-double-sim-bleu.html,nokia,c1 2eme edition 3g,1go,16gb,blue,double sim,tunisianet,INSTOCK,149.000,2024-06-13
tcl-4034g,tcl-4034g-1go-32gb-black,Smartphone TCL 403 / 4G / 1Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64045-smartphone-tcl-403-4g-1go-32-go-noir.html,tcl,403 4g,1go,32gb,black,,tunisianet,INSTOCK,149.000,2024-06-13
nokia-c22ndedition4g,nokia-c22ndedition4g-2go-32gb-grey,Smartphone Nokia C2 2nd Edition / 4G / 2 Go / 32 Go / Double SIM / Gris + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60231-smartphone-nokia-c2-2nd-edition-4g-2-go-32-go-double-sim-gris.html,nokia,c2 2nd edition 4g,2go,32gb,grey,double sim abonnement offert,tunisianet,INSTOCK,149.000,2024-06-13
nokia-c22ndedition4g,nokia-c22ndedition4g-2go-32gb-blue,Smartphone Nokia C2 2nd Edition / 4G / 2 Go / 32 Go / Double SIM / Bleu + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60230-smartphone-nokia-c2-2nd-edition-4g-2-go-32-go-double-sim-bleu.html,nokia,c2 2nd edition 4g,2go,32gb,blue,double sim abonnement offert,tunisianet,INSTOCK,149.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-grey,SMARTPHONE IKU A7 PLUS /2Go /16G / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/72364-smartphone-iku-a7-plus-2go-16g-gris.html,iku,a7 plus,2go,16gb,grey,,tunisianet,INSTOCK,179.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-green,SMARTPHONE IKU A7 PLUS /2Go /16G / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/66474-smartphone-iku-a7-plus-2go-16g-vert.html,iku,a7 plus,2go,16gb,green,,tunisianet,INSTOCK,179.000,2024-06-13
itel-a33plusa509wp,itel-a33plusa509wp-2go-32gb-black,SMARTPHONE ITEL A33 PLUS (A509WP) / 2 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/60684-smartphone-itel-a33-plus-a509wp-2-go-32-go-noir.html,itel,a33 plus a509wp,2go,32gb,black,,tunisianet,INSTOCK,179.000,2024-06-13
itel-a33plusa509wp,itel-a33plusa509wp-2go-32gb-blue,SMARTPHONE ITEL A33 PLUS (A509WP) / 2 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/60685-smartphone-itel-a33-plus-a509wp-2-go-32-go-bleu.html,itel,a33 plus a509wp,2go,32gb,blue,,tunisianet,INSTOCK,179.000,2024-06-13
iku-a7plus,iku-a7plus-2go-16gb-blue,SMARTPHONE IKU A7 PLUS /2Go /16G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/66473-smartphone-iku-a7-plus-2go-16g-bleu.html,iku,a7 plus,2go,16gb,blue,,tunisianet,INSTOCK,179.000,2024-06-13
iku-a23,iku-a23-2go-32gb-blue,SMARTPHONE IKU A23 /2Go /32Go /BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/60634-smartphone-iku-a23-2go-32go-bleu.html,iku,a23,2go,32gb,blue,,tunisianet,INSTOCK,179.000,2024-06-13
iku-a23,iku-a23-2go-32gb-red,SMARTPHONE IKU A23 /2Go /32Go / Rouge,https://www.tunisianet.com.tn/smartphone-tunisie/73507-smartphone-iku-a23-2go-32go.html,iku,a23,2go,32gb,red,,tunisianet,INSTOCK,199.000,2024-06-13
iku-a23,iku-a23-2go-32gb-green,SMARTPHONE IKU A23 / 2Go / 32Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/76215-smartphone-iku-a23-2go-32go-vert.html,iku,a23,2go,32gb,green,,tunisianet,INSTOCK,199.000,2024-06-13
iku-a23,iku-a23-2go-32gb-grey,SMARTPHONE IKU A23 /2Go /32Go /Gris,https://www.tunisianet.com.tn/smartphone-tunisie/60635-smartphone-iku-a23-2go-32go-gris.html,iku,a23,2go,32gb,grey,,tunisianet,INSTOCK,199.000,2024-06-13
itel-a58litea631w,itel-a58litea631w-2go-32gb-black,Smartphone Itel A58 LITE A631W / 2 Go / 32 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/61304-smartphone-itel-a58-lite-a631w-2-go-32-go-noir.html,itel,a58 lite a631w,2go,32gb,black,,tunisianet,INSTOCK,199.000,2024-06-13
iku-a10s4g,iku-a10s4g-32go-32gb-white,Smartphone Iku A10S / 4G / 32Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/63887-smartphone-iku-a10s-4g-32go-blanc.html,iku,a10s 4g,32go,32gb,white,,tunisianet,INSTOCK,199.000,2024-06-13
itel-a58litea631w,itel-a58litea631w-2go-32gb-blue,Smartphone Itel A58 LITE A631W / 2 Go / 32 GO / BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/60686-smartphone-itel-a58-lite-a631w-2-go-32-go-bleu.html,itel,a58 lite a631w,2go,32gb,blue,,tunisianet,INSTOCK,199.000,2024-06-13
iku-x5,iku-x5-3go-32gb-red,Smartphone IKU X5 / 3Go /32Go / Rouge,https://www.tunisianet.com.tn/smartphone-tunisie/72363-smartphone-iku-x5-3go-32go-rouge.html,iku,x5,3go,32gb,red,,tunisianet,INSTOCK,199.000,2024-06-13
iku-a10s4g,iku-a10s4g-32go-32gb-blue,Smartphone Iku A10S / 4G / 32Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/63886-smartphone-iku-a10s-4g-32go-bleu.html,iku,a10s 4g,32go,32gb,blue,,tunisianet,INSTOCK,199.000,2024-06-13
iku-a10s4g,iku-a10s4g-32go-32gb-red,Smartphone Iku A10S / 4G / 32Go / Rouge,https://www.tunisianet.com.tn/smartphone-tunisie/66512-smartphone-iku-a10s-4g-32go-rouge.html,iku,a10s 4g,32go,32gb,red,,tunisianet,INSTOCK,199.000,2024-06-13
xiaomi-redmia24g,xiaomi-redmia24g-2go-32gb-black,Smartphone Xiaomi Redmi A2+ / 4G / 2 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/66497-smartphone-xiaomi-redmi-a2-4g-2-go-32-go-noir.html,xiaomi,redmi a2 4g,2go,32gb,black,,tunisianet,INSTOCK,199.000,2024-06-13
infinix-smart7hdx6516,infinix-smart7hdx6516-2go-64gb-black,Smartphone INFINIX Smart 7 HD X6516 / 2 Go / 64 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65146-smartphone-infinix-smart-7-hd-x6516-2-go-64-g-noir.html,infinix,smart 7 hd x6516,2go,64gb,black,,tunisianet,INSTOCK,239.000,2024-06-13
iku-a12,iku-a12-4go-64gb-white,SMARTPHONE IKU A12 /4Go /64Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/72366-smartphone-iku-a12-4go-64go-blanc.html,iku,a12,4go,64gb,white,,tunisianet,INSTOCK,239.000,2024-06-13
infinix-smart7hd,infinix-smart7hd-2go-64gb-blue,Smartphone INFINIX Smart 7 HD / 2 Go / 64 G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/65148-smartphone-infinix-smart-7-hd-2-go-64-g-bleu.html,infinix,smart 7 hd,2go,64gb,blue,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a60s,itel-a60s-2go-64gb-green,Smartphone ITEL A60S 2Go / 64Go / VERT,https://www.tunisianet.com.tn/smartphone-tunisie/66080-smartphone-itel-a60s-2go-64go-vert.html,itel,a60s,2go,64gb,green,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a60s,itel-a60s-2go-64gb-black,Smartphone ITEL A60S 2Go / 64Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/66081-smartphone-itel-a60s-2go-64go-vert.html,itel,a60s,2go,64gb,black,,tunisianet,INSTOCK,279.000,2024-06-13
infinix-smart7hdx6516,infinix-smart7hdx6516-2go-64gb-green,Smartphone INFINIX Smart 7 HD X6516 / 2 Go / 64 G / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/65144-smartphone-infinix-smart-7-hd-x6516-2-go-64-g-vert-.html,infinix,smart 7 hd x6516,2go,64gb,green,,tunisianet,INSTOCK,279.000,2024-06-13
iku-a12,iku-a12-4go-64gb-grey,SMARTPHONE IKU A12 /4Go /64Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/60639-smartphone-iku-a12-4go-64go-gris.html,iku,a12,4go,64gb,grey,,tunisianet,INSTOCK,279.000,2024-06-13
iku-a12,iku-a12-4go-64gb-red,SMARTPHONE IKU A12 /4Go /64Go / Rouge,https://www.tunisianet.com.tn/smartphone-tunisie/60673-smartphone-iku-a12-4go-64go-marron.html,iku,a12,4go,64gb,red,,tunisianet,INSTOCK,279.000,2024-06-13
infinix-smart7hdx6516,infinix-smart7hdx6516-2go-64gb-white,Smartphone INFINIX Smart 7 HD X6516 / 2 Go / 64 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/65147-smartphone-infinix-smart-7-hd-x6516-2-go-64-g-blanc.html,infinix,smart 7 hd x6516,2go,64gb,white,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a70,itel-a70-3go-64gb-black,Smartphone Itel A70 / 3 Go / 64 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/74072-smartphone-itel-a70-3-go-64-go-noir.html,itel,a70,3go,64gb,black,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a70,itel-a70-3go-64gb-blue,Smartphone Itel A70 / 3 Go / 64 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/74076-smartphone-itel-a70-3-go-64-go-bleu.html,itel,a70,3go,64gb,blue,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a70,itel-a70-3go-64gb-green,Smartphone Itel A70 / 3 Go / 64 GO / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/74075-smartphone-itel-a70-3-go-64-go-vert.html,itel,a70,3go,64gb,green,,tunisianet,INSTOCK,279.000,2024-06-13
itel-a70,itel-a70-3go-64gb-gold,Smartphone Itel A70 / 3 Go / 64 GO / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/74073-smartphone-itel-a70-3-go-64-go-gold.html,itel,a70,3go,64gb,gold,,tunisianet,INSTOCK,279.000,2024-06-13
zte-a33s,zte-a33s-4go-32gb-black,Smartphone ZTE A33S / 4 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/73690-smartphone-zte-a33s-4-go-32-go-noir.html,zte,a33s,4go,32gb,black,,tunisianet,INSTOCK,279.000,2024-06-13
tecno-sparkgo2024,tecno-sparkgo2024-3go-64gb-black,Smartphone Tecno Spark Go 2024 / 3 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72459-smartphone-tecno-spark-go-2024-3-go-64-go-noir.html,tecno,spark go 2024,3go,64gb,black,,tunisianet,INSTOCK,279.000,2024-06-13
iplus-p54g,iplus-p54g-4go-128gb-blue,Smartphone IPLUS P5 / 4G / 4 Go / 128 Go / Double SIM / Bleu + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60093-smartphone-iplus-p5-4g-4-go-128-go-double-sim-bleu-abonnement-offert.html,iplus,p5 4g,4go,128gb,blue,double sim abonnement offert,tunisianet,INSTOCK,279.000,2024-06-13
zte-a33s,zte-a33s-4go-32gb-blue,Smartphone ZTE A33S / 4 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/73692-smartphone-zte-a33s-4-go-32-go-bleu.html,zte,a33s,4go,32gb,blue,,tunisianet,INSTOCK,285.000,2024-06-13
tecno-sparkgo2024,tecno-sparkgo2024-3go-64gb-green,Smartphone Tecno Spark Go 2024 / 3 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/73772-smartphone-tecno-spark-go-2024-3-go-64-go-noir.html,tecno,spark go 2024,3go,64gb,green,,tunisianet,INSTOCK,285.000,2024-06-13
tecno-sparkgo2024,tecno-sparkgo2024-3go-64gb-white,Smartphone Tecno Spark Go 2024 / 3 Go / 64 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/73773-smartphone-tecno-spark-go-2024-3-go-64-go-blanc.html,tecno,spark go 2024,3go,64gb,white,,tunisianet,INSTOCK,285.000,2024-06-13
iplus-p54g,iplus-p54g-4go-128gb-black,Smartphone IPLUS P5 / 4G / 4 Go / 128 Go / Double SIM / Noir + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60092-smartphone-iplus-p5-4g-4-go-128-go-double-sim-noir.html,iplus,p5 4g,4go,128gb,black,double sim abonnement offert,tunisianet,INSTOCK,285.000,2024-06-13
tcl-4034g,tcl-4034g-2go-32gb-mauve,Smartphone TCL 403 / 4G / 2 Go / 32 Go / Mauve,https://www.tunisianet.com.tn/smartphone-tunisie/64042-smartphone-tcl-403-4g-2-go-32-go-mauve.html,tcl,403 4g,2go,32gb,mauve,,tunisianet,INSTOCK,285.000,2024-06-13
itel-a70,itel-a70-4go-64gb-blue,Smartphone Itel A70 / 4 Go / 64 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/70953-smartphone-itel-a70-4-go-64-go-blue.html,itel,a70,4go,64gb,blue,,tunisianet,INSTOCK,285.000,2024-06-13
itel-a70,itel-a70-4go-64gb-black,Smartphone Itel A70 / 4 Go / 64 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/70955-smartphone-itel-a70-4-go-64-go-noir.html,itel,a70,4go,64gb,black,,tunisianet,INSTOCK,285.000,2024-06-13
